id,turn,positionX,positionY,point
1,BLACK,4,2,4vs1
2,WHITE,3,2,3vs3
3,BLACK,2,2,6vs1
4,WHITE,3,1,4vs4
5,BLACK,2,3,6vs3
6,WHITE,1,2,4vs6
7,BLACK,2,1,6vs5
8,WHITE,1,1,5vs7
9,BLACK,0,0,8vs5
10,WHITE,0,1,7vs7
11,BLACK,0,2,10vs5
12,WHITE,0,3,9vs7
13,BLACK,1,3,11vs6
14,WHITE,0,4,9vs9
15,BLACK,0,5,12vs7
16,WHITE,2,4,11vs9
17,BLACK,2,5,13vs8
18,WHITE,2,6,12vs10
19,BLACK,1,4,15vs8
20,WHITE,1,5,14vs10
21,BLACK,3,6,17vs8
22,WHITE,3,5,12vs14
23,BLACK,4,1,17vs10
24,WHITE,1,0,16vs12
25,BLACK,2,0,19vs10
26,WHITE,3,0,16vs14
27,BLACK,4,0,21vs10
28,WHITE,3,7,20vs12
29,BLACK,4,6,23vs10
30,WHITE,4,5,22vs12
31,BLACK,5,6,25vs10
32,WHITE,5,0,24vs12
33,BLACK,5,1,26vs11
34,WHITE,5,2,22vs16
35,BLACK,5,3,26vs13
36,WHITE,5,4,22vs18
37,BLACK,6,2,25vs16
38,WHITE,4,7,24vs18
39,BLACK,6,3,27vs16
40,WHITE,6,0,23vs21
41,BLACK,7,0,26vs19
42,WHITE,6,1,24vs22
43,BLACK,7,2,26vs21
44,WHITE,6,4,25vs23
45,BLACK,5,7,29vs20
46,WHITE,5,5,28vs22
47,BLACK,2,7,36vs15
48,WHITE,1,6,33vs19
49,BLACK,0,7,39vs14
50,WHITE,0,6,38vs16
51,BLACK,6,5,41vs14
52,WHITE,6,6,39vs17
53,BLACK,7,7,44vs13
54,WHITE,7,1,42vs16
55,BLACK,7,3,45vs14
56,WHITE,6,7,40vs20
57,BLACK,7,5,46vs15
58,WHITE,1,7,42vs20
59,BLACK,7,4,44vs19
60,WHITE,7,6,36vs28
