id,turn,positionX,positionY,point
1,BLACK,2,4,4vs1
2,WHITE,2,3,3vs3
3,BLACK,3,2,5vs2
4,WHITE,2,5,3vs5
5,BLACK,3,5,5vs4
6,WHITE,4,2,4vs6
7,BLACK,2,2,6vs5
8,WHITE,2,1,4vs8
9,BLACK,3,1,6vs7
10,WHITE,4,1,4vs10
11,BLACK,1,2,6vs9
12,WHITE,1,3,4vs12
13,BLACK,1,5,6vs11
14,WHITE,0,2,5vs13
15,BLACK,1,4,7vs12
16,WHITE,0,5,6vs14
17,BLACK,0,3,8vs13
18,WHITE,0,4,7vs15
19,BLACK,3,0,11vs12
20,WHITE,2,0,10vs14
21,BLACK,5,1,12vs13
22,WHITE,4,0,11vs15
23,BLACK,5,0,13vs14
24,WHITE,5,2,10vs18
25,BLACK,5,3,13vs16
26,WHITE,6,2,11vs19
27,BLACK,0,1,14vs17
28,WHITE,0,0,13vs19
29,BLACK,7,2,19vs14
30,WHITE,6,3,14vs20
31,BLACK,6,4,17vs18
32,WHITE,7,3,14vs22
33,BLACK,7,4,16vs21
34,WHITE,5,4,12vs26
35,BLACK,6,5,15vs24
36,WHITE,5,5,14vs26
37,BLACK,4,6,16vs25
38,WHITE,7,5,15vs27
39,BLACK,4,5,21vs22
40,WHITE,2,6,17vs27
41,BLACK,3,6,19vs26
42,WHITE,4,7,16vs30
43,BLACK,5,6,18vs29
44,WHITE,5,7,15vs33
45,BLACK,3,7,20vs29
46,WHITE,2,7,17vs33
47,BLACK,0,6,21vs30
48,WHITE,0,7,20vs32
49,BLACK,1,7,22vs31
50,WHITE,1,1,19vs35
51,BLACK,1,6,21vs34
52,WHITE,6,0,20vs36
53,BLACK,6,6,22vs35
54,WHITE,7,7,20vs38
55,BLACK,7,1,24vs35
56,WHITE,7,0,20vs40
57,BLACK,6,1,22vs39
58,WHITE,7,6,21vs41
59,BLACK,1,0,27vs36
60,WHITE,6,7,26vs38
